date,mean_ch4
2024-02-17,1878.262446527103
2024-02-17,1899.5672950225262
2024-02-21,1801.595282656668
2024-02-23,1835.2723973680675
2024-02-24,1856.7627674864573
2024-02-25,1840.8094516019312
2024-02-26,1846.3389310097775
2024-03-03,1875.4521497013336
2024-03-04,1874.7233958988515
2024-03-04,1873.6432085032936
2024-03-05,1886.5318014454683
2024-03-06,1867.9341573307972
2024-03-06,1839.9419151617064
2024-03-07,1853.1344998883646
2024-03-07,1827.5044146720024
2024-03-08,1847.4044899895523
2024-03-09,1815.5361060358127
2024-03-09,1814.8845551488116
2024-03-10,1826.2370556656265
2024-03-10,1823.0802178853155
2024-03-11,1835.045162893143
2024-03-12,1865.4321503710412
2024-03-12,1854.2558487786298
2024-03-13,1553.2712326926462
2024-03-14,1815.2539612135176
2024-03-14,1836.3335760532136
2024-03-14,1855.420687329058
2024-03-15,1793.7294247646082
2024-03-15,1803.660014036527
2024-03-16,1880.6917020266424
2024-03-16,1875.1238929843623
2024-03-16,1865.8356227737518
2024-03-17,1892.9929382461294
2024-03-17,1869.5991648294519
2024-03-18,1907.0557950501254
2024-03-18,1870.6750034863571
2024-03-19,1871.3718956178054
2024-03-19,1850.5268887419447
2024-03-20,1875.0876431910565
2024-03-20,1842.8901220668226
2024-03-21,1866.312877282009
2024-03-21,1825.8480690084657
2024-03-21,1830.8897208229448
2024-03-22,1806.8194383604766
2024-03-22,1820.2452072316335
2024-03-23,1809.4692129983641
2024-03-23,1817.962369056158
2024-03-25,1880.983025373737
2024-03-25,1862.5859957161451
2024-03-25,1874.762330230393
2024-03-26,1882.2851339834212
2024-03-26,1874.1546717414637
2024-03-26,1868.175615727479
2024-03-27,1905.3259018513058
2024-03-27,1886.1565012244353
2024-03-28,1877.2351378959313
2024-03-28,1887.239334935842
2024-03-29,1876.4209115164638
2024-03-29,1857.1079606808069
2024-03-29,1856.708879717333
2024-03-30,1796.979848662374
2024-03-30,1821.5858300919497
2024-03-31,1882.3933421462903
2024-03-31,1852.9779622419046
2024-04-01,1888.7414368490706
2024-04-01,1856.6928727711002
2024-04-01,1848.439499975948
2024-04-02,1884.3106575026911
2024-04-02,1873.083034224007
2024-04-02,1859.5195759625587
2024-04-03,1872.5439512029582
2024-04-03,1841.4186558237323
2024-04-04,1873.8976369250445
2024-04-04,1856.5816765235631
2024-04-05,1885.2389646453437
2024-04-05,1857.0615533279345
2024-04-06,1868.4435787051145
2024-04-06,1854.8104442673591
2024-04-06,1860.693726048175
2024-04-07,1871.0701510177914
2024-04-08,1791.6396757863586
2024-04-08,1807.939123993151
2024-04-09,1838.773092242105
2024-04-09,1840.6694338922846
2024-04-10,1809.6483683495082
2024-04-10,1841.5393846085922
2024-04-11,1789.430505901448
2024-04-11,1797.141826772836
2024-04-12,1886.5945252400845
2024-04-12,1809.1412918561416
2024-04-12,1821.0970159606238
2024-04-13,1783.017328909178
2024-04-13,1801.7659967832674
2024-04-14,1788.8905558112617
2024-04-14,1786.4308523882337
2024-04-14,1808.2414151361752
2024-04-15,1790.9366281392095
2024-04-15,1821.5325875004658
2024-04-15,1823.1956725353964
2024-04-16,1825.2741930399995
2024-04-16,1833.4774407860282
2024-04-17,1843.2803341904932
2024-04-17,1837.4131626512226
2024-04-18,1873.9311426139832
2024-04-18,1852.1888826240431
2024-04-18,1844.3323303484
2024-04-19,1881.2770783625613
2024-04-19,1859.4417233066358
2024-04-19,1846.9094121616004
2024-04-20,1885.74465624729
2024-04-20,1828.8536489965934
2024-04-20,1863.2679436678827
2024-04-21,1880.6155960520302
2024-04-21,1846.5798626042874
2024-04-21,1860.0100882709307
2024-04-22,1874.8527649107782
2024-04-22,1828.0459577365575
2024-04-22,1849.0769303801967
2024-04-23,1827.3490435586918
2024-04-23,1876.1256449327727
2024-04-24,1844.6505489722726
2024-04-25,1818.7786654478093
2024-04-26,1857.2196023633019
2024-04-26,1812.4022232142042
2024-04-27,1862.8799874947754
2024-04-27,1870.9911890236954
2024-04-28,1849.954335558501
2024-04-28,1873.865352862852
2024-04-29,1878.6180716119811
2024-04-30,1855.203932565323
2024-04-30,1787.330684684177
2024-04-30,1835.8839438049122
2024-05-01,1799.524222742558
2024-05-01,1843.8972983996166
2024-05-01,1887.4418202767733
2024-05-02,1792.698977829849
2024-05-02,1873.1818074554153
2024-05-02,1886.718649896338
2024-05-03,1819.0961111575834
2024-05-03,1840.657278575007
2024-05-03,1879.1557107133854
2024-05-04,1760.9316883405954
2024-05-04,1823.439658720541
2024-05-04,1862.5552387201037
2024-05-05,1813.6872973125603
2024-05-05,1835.8680311434698
2024-05-06,1816.8213334026443
2024-05-06,1801.6335733231601
2024-05-07,1793.2496319911766
2024-05-07,1856.1792168728098
2024-05-07,1854.2422614675384
2024-05-08,1839.9454963083547
2024-05-08,1807.1211564329792
2024-05-08,1862.5287595972986
2024-05-10,1835.603151154057
2024-05-10,1872.281020271548
2024-05-11,1861.8500444564277
2024-05-12,1868.715623166054
2024-05-12,1881.1657564464415
2024-05-13,1854.7871428045778
2024-05-13,1876.1992654655457
2024-05-14,1861.4357241991368
2024-05-14,1874.7547324945824
2024-05-15,1859.599188363555
2024-05-15,1877.6907942990988
